"ncsLclasCd","ncsLclasCdnm","ncsMclasCd","ncsMclasCdnm","ncsSclasCd","ncsSclasCdnm","ncsSubdCd","ncsSubdCdnm","ncsCompeUnitCd","compeUnitName"
"01","사업관리","01","사업관리","01","프로젝트관리","01","공적개발원조사업관리","01","공적개발원조사업 개발전략수립"
"01","사업관리","01","사업관리","01","프로젝트관리","01","공적개발원조사업관리","02","공적개발원조사업 사업기획"
"01","사업관리","01","사업관리","01","프로젝트관리","01","공적개발원조사업관리","03","공적개발원조사업 PDM수립"
"01","사업관리","01","사업관리","01","프로젝트관리","01","공적개발원조사업관리","04","공적개발원조사업 총괄운영관리"
"01","사업관리","01","사업관리","01","프로젝트관리","01","공적개발원조사업관리","05","공적개발원조사업 프로젝트 집행"
"01","사업관리","01","사업관리","01","프로젝트관리","01","공적개발원조사업관리","06","공적개발원조사업 성과관리"
"01","사업관리","01","사업관리","01","프로젝트관리","01","공적개발원조사업관리","07","공적개발원조사업 평가관리"
"01","사업관리","01","사업관리","01","프로젝트관리","02","프로젝트관리","01","프로젝트 전략기획"
"01","사업관리","01","사업관리","01","프로젝트관리","02","프로젝트관리","02","프로젝트 통합관리"
"01","사업관리","01","사업관리","01","프로젝트관리","02","프로젝트관리","03","프로젝트 이해관계자관리"
"01","사업관리","01","사업관리","01","프로젝트관리","02","프로젝트관리","04","프로젝트 범위관리"
"01","사업관리","01","사업관리","01","프로젝트관리","02","프로젝트관리","05","프로젝트 인적자원관리"
"01","사업관리","01","사업관리","01","프로젝트관리","02","프로젝트관리","06","프로젝트 일정관리"
"01","사업관리","01","사업관리","01","프로젝트관리","02","프로젝트관리","07","프로젝트 원가관리"
"01","사업관리","01","사업관리","01","프로젝트관리","02","프로젝트관리","08","프로젝트 리스크관리"
"01","사업관리","01","사업관리","01","프로젝트관리","02","프로젝트관리","09","프로젝트 품질관리"
"01","사업관리","01","사업관리","01","프로젝트관리","02","프로젝트관리","10","프로젝트 조달관리"
"01","사업관리","01","사업관리","01","프로젝트관리","02","프로젝트관리","11","프로젝트 의사소통관리"
"01","사업관리","01","사업관리","01","프로젝트관리","03","산학협력관리","01","산학협력 사업기획"
"01","사업관리","01","사업관리","01","프로젝트관리","03","산학협력관리","10","대학기술이전 기획"
"01","사업관리","01","사업관리","01","프로젝트관리","03","산학협력관리","11","대학기술이전 성과 관리"
"01","사업관리","01","사업관리","01","프로젝트관리","03","산학협력관리","12","대학기술사업화"
"01","사업관리","01","사업관리","01","프로젝트관리","03","산학협력관리","13","산학협력 연구비관리"
"01","사업관리","01","사업관리","01","프로젝트관리","03","산학협력관리","14","산학협력 과제관리"
"01","사업관리","01","사업관리","01","프로젝트관리","03","산학협력관리","15","대학 창업교육 기획"
"01","사업관리","01","사업관리","01","프로젝트관리","03","산학협력관리","16","대학 창업교육 운영"
"01","사업관리","01","사업관리","01","프로젝트관리","03","산학협력관리","17","입주기업 지원관리"
"01","사업관리","01","사업관리","01","프로젝트관리","03","산학협력관리","18","산학협력 지식재산권 관리전략"
"01","사업관리","01","사업관리","01","프로젝트관리","03","산학협력관리","19","산학협력 지식재산권 운영관리"
"01","사업관리","01","사업관리","01","프로젝트관리","03","산학협력관리","20","산학협력 학술연구진흥"
"01","사업관리","01","사업관리","01","프로젝트관리","03","산학협력관리","21","산학협력 회계관리"
"01","사업관리","01","사업관리","02","해외관리","01","해외법인설립관리","01","해외법인 설립목적 파악"
"01","사업관리","01","사업관리","02","해외관리","01","해외법인설립관리","02","해외법인 설립내부역량 분석"
"01","사업관리","01","사업관리","02","해외관리","01","해외법인설립관리","03","해외법인 설립대상국 분석"
"01","사업관리","01","사업관리","02","해외관리","01","해외법인설립관리","04","해외법인 설립타당성 검토"
"01","사업관리","01","사업관리","02","해외관리","01","해외법인설립관리","05","해외법인 설립계획 수립"
"01","사업관리","01","사업관리","02","해외관리","01","해외법인설립관리","06","해외법인 운영계획 수립"
